,code,name,gt_12%_counts,2022_roe,2021_roe,2020_roe,2019_roe,2018_roe,2017_roe,2016_roe,2015_roe,2014_roe,2013_roe
15,sz.002737,葵花药业,8,21.91%,20.46%,18.25%,17.41%,17.98%,15.06%,11.91%,13.14%,19.78%,
16,sz.002027,分众传媒,8,15.79%,34.26%,26.00%,13.40%,47.39%,65.40%,70.71%,133.06%,1.34%,-22.46%
17,sz.300033,同花顺,8,24.65%,32.67%,37.42%,24.49%,19.48%,23.71%,47.70%,57.69%,5.19%,1.94%
18,sz.000513,丽珠集团,8,14.21%,14.14%,14.74%,11.94%,10.10%,51.26%,14.46%,15.48%,14.66%,15.35%
19,sh.603198,迎驾贡酒,8,26.45%,24.89%,19.28%,20.48%,18.42%,16.56%,18.01%,17.08%,,
20,sh.600085,同仁堂,7,12.71%,11.99%,10.82%,10.66%,12.83%,12.55%,12.52%,13.85%,14.50%,14.58%
21,sh.601900,南方传媒,7,12.82%,11.81%,12.05%,12.73%,12.66%,14.45%,14.32%,17.75%,,
22,sh.603868,飞科电器,7,25.44%,21.82%,23.38%,26.22%,33.72%,37.79%,39.37%,,,
23,sh.603444,吉比特,7,34.14%,35.03%,30.45%,27.07%,27.76%,28.84%,48.60%,,,
24,sh.603639,海利尔,7,14.72%,15.90%,16.74%,15.04%,20.58%,25.01%,23.87%,,,
25,sz.002518,科士达,6,19.87%,12.72%,11.18%,12.73%,9.83%,17.54%,15.95%,14.17%,10.29%,9.40%
26,sh.601336,新华保险,6,9.29%,14.22%,15.36%,19.41%,12.25%,8.76%,8.45%,16.20%,14.61%,11.76%
27,sz.000423,东阿阿胶,6,7.68%,4.47%,0.44%,-4.17%,19.72%,22.46%,24.10%,25.12%,25.00%,26.01%
28,sh.603801,志邦家居,6,19.63%,20.98%,19.02%,17.33%,15.28%,19.80%,,,,
29,sh.600211,西藏药业,6,13.11%,8.03%,16.68%,13.32%,10.04%,16.99%,34.48%,20.50%,5.29%,7.14%
30,sh.601225,陕西煤业,6,37.35%,27.17%,23.17%,21.38%,23.17%,26.59%,8.41%,-9.10%,2.91%,11.51%
31,sz.002847,盐津铺子,6,30.03%,17.41%,29.62%,18.11%,11.41%,14.61%,30.95%,,,
32,sh.603233,大参林,6,17.72%,14.57%,22.07%,19.31%,18.36%,23.34%,,,,
33,sh.600971,恒源煤电,5,23.08%,14.46%,8.61%,13.64%,16.56%,17.56%,0.63%,-22.41%,0.23%,4.48%
34,sz.300760,迈瑞医疗,5,32.60%,31.86%,31.80%,27.74%,34.16%,,,,,
35,sh.601601,中国太保,5,10.81%,12.14%,12.49%,16.92%,12.55%,10.89%,9.10%,14.16%,10.23%,9.49%
36,sz.300770,新媒股份,5,21.21%,23.86%,23.81%,27.33%,32.35%,,,,,
37,sh.603100,川仪股份,4,17.59%,18.27%,14.83%,10.00%,18.14%,8.21%,7.01%,8.72%,11.82%,
38,sh.600600,青岛啤酒,4,15.30%,14.47%,11.06%,9.97%,8.10%,7.55%,6.37%,10.76%,13.53%,14.90%
39,sh.603195,公牛集团,4,27.54%,27.95%,31.50%,52.36%,,,,,,
40,sh.600007,中国国贸,3,12.55%,12.30%,10.59%,13.42%,11.57%,10.07%,11.65%,11.54%,10.64%,6.81%
41,sz.002603,以岭药业,3,23.62%,14.94%,14.45%,7.82%,8.17%,8.70%,10.69%,9.19%,8.05%,6.03%
42,sz.300693,盛弘股份,3,23.42%,14.17%,14.98%,9.76%,8.12%,11.00%,,,,
43,sh.688111,金山办公,3,13.59%,14.29%,13.59%,,,,,,,
44,sh.601699,潞安环能,3,34.00%,21.73%,7.41%,9.74%,11.83%,14.11%,4.75%,0.57%,5.53%,9.24%
45,sh.600089,特变电工,2,31.18%,17.74%,6.86%,5.97%,6.60%,8.35%,9.94%,9.33%,9.66%,9.40%
46,sz.002991,甘源食品,2,10.73%,10.72%,18.62%,36.89%,,,,,,
47,sh.601101,昊华能源,2,13.36%,23.30%,0.62%,3.53%,9.30%,8.86%,-0.13%,0.87%,2.70%,7.66%
48,sh.600348,华阳股份,2,29.40%,15.68%,6.51%,7.78%,10.91%,11.49%,3.25%,0.65%,6.14%,7.24%
49,sh.688029,南微医学,0,10.72%,11.69%,10.25%,,,,,,,
