,code,name,gt_12%_counts,2022_roe,2021_roe,2020_roe,2019_roe,2018_roe,2017_roe,2016_roe,2015_roe,2014_roe,2013_roe
92,sz.300601,康泰生物,6,-1.46%,15.19%,13.29%,25.05%,30.01%,23.78%,12.48%,,,
93,sz.300628,亿联网络,6,30.62%,28.02%,26.64%,31.29%,26.72%,32.12%,,,,
94,sz.002916,深南电路,6,15.79%,18.56%,22.99%,28.26%,20.24%,18.88%,,,,
95,sh.601838,成都银行,6,17.73%,15.99%,14.77%,16.63%,16.56%,16.68%,,,,
96,sh.601360,三六零,6,-6.60%,2.51%,8.89%,22.70%,17.66%,38.02%,9.76%,14.56%,16.16%,13.46%
97,sh.601288,农业银行,6,10.20%,10.44%,10.40%,11.72%,13.10%,14.06%,14.55%,16.12%,19.15%,20.88%
98,sh.600016,民生银行,6,6.01%,6.23%,6.55%,11.46%,12.60%,13.81%,14.86%,17.04%,20.35%,23.44%
99,sh.600674,川投能源,6,10.81%,10.28%,11.31%,11.34%,15.09%,15.18%,18.16%,23.30%,27.24%,14.39%
100,sh.600000,浦发银行,6,7.48%,8.10%,9.79%,11.49%,12.47%,13.68%,15.55%,17.59%,20.25%,21.43%
101,sz.002410,广联达,6,15.98%,10.84%,6.83%,7.28%,13.99%,15.63%,14.85%,8.75%,22.66%,21.53%
102,sz.002180,纳思达,6,12.35%,10.37%,1.26%,13.67%,20.72%,32.52%,3.32%,22.87%,43.24%,1.04%
103,sh.600606,绿地控股,6,1.12%,7.07%,18.33%,19.79%,17.15%,15.21%,13.18%,25.07%,-17.99%,3.19%
104,sh.601006,大秦铁路,6,8.86%,9.93%,9.28%,12.41%,14.13%,14.11%,8.01%,14.63%,17.63%,17.24%
105,sz.000625,长安汽车,6,13.15%,6.51%,6.82%,-5.86%,1.45%,15.66%,26.39%,33.16%,34.05%,20.45%
106,sh.600188,兖矿能源,6,37.78%,26.59%,12.13%,13.95%,13.64%,13.97%,5.05%,2.18%,5.84%,3.04%
107,sh.601225,陕西煤业,6,37.35%,27.17%,23.17%,21.38%,23.17%,26.59%,8.41%,-9.10%,2.91%,11.51%
108,sh.601021,春秋航空,6,-22.13%,0.28%,-4.03%,12.98%,13.79%,15.98%,13.71%,26.31%,28.09%,
109,sh.600346,恒力石化,6,4.21%,29.83%,32.35%,31.37%,19.13%,26.42%,37.62%,-45.23%,-30.95%,1.94%
110,sz.300498,温氏股份,6,14.66%,-34.27%,16.34%,35.06%,11.78%,21.41%,44.72%,33.28%,,
111,sz.001979,招商蛇口,6,4.05%,9.88%,12.49%,18.78%,21.13%,19.58%,18.59%,15.29%,,
112,sz.000977,浪潮信息,6,12.83%,13.53%,12.02%,9.82%,8.10%,7.62%,8.47%,17.39%,19.93%,12.99%
113,sz.002812,恩捷股份,6,25.35%,21.80%,14.25%,20.28%,18.90%,9.66%,14.31%,,,
114,sz.002821,凯莱英,6,23.37%,11.49%,15.98%,19.94%,18.75%,17.91%,19.18%,,,
115,sh.603833,欧派家居,6,17.39%,20.24%,19.20%,21.49%,22.80%,28.55%,,,,
116,sz.300661,圣邦股份,6,29.76%,35.87%,22.13%,17.67%,12.66%,18.33%,,,,
117,sh.603260,合盛硅业,6,23.43%,55.10%,15.45%,13.47%,42.03%,37.65%,,,,
118,sz.000723,美锦能源,5,16.43%,22.89%,7.75%,12.51%,24.22%,14.55%,10.32%,-10.85%,2.08%,8.23%
119,sh.601919,中远海控,5,65.73%,100.89%,25.05%,23.23%,5.65%,13.65%,-46.10%,1.16%,1.49%,0.95%
120,sh.600009,上海机场,5,-8.93%,-6.03%,-4.14%,16.70%,15.85%,15.53%,13.17%,13.05%,11.84%,11.44%
121,sz.002352,顺丰控股,5,7.30%,6.13%,14.82%,14.68%,13.16%,17.94%,39.40%,3.52%,3.34%,5.61%
122,sz.300316,晶盛机电,5,33.21%,28.35%,17.53%,14.81%,15.27%,11.29%,8.00%,5.93%,3.87%,2.58%
123,sh.601633,长城汽车,5,12.98%,11.26%,9.60%,8.41%,10.24%,10.43%,24.64%,22.45%,26.17%,33.22%
124,sz.000408,藏格矿业,5,52.41%,16.43%,2.89%,4.71%,12.17%,19.44%,30.22%,-56.22%,-33.84%,9.80%
125,sh.603799,华友钴业,5,17.27%,26.60%,13.18%,1.56%,22.43%,36.54%,2.06%,-10.61%,6.75%,
